file_name,corpus_origin,total_words,postural_contortion_raw_count,postural_contortion_density_10k,apparatus_pole_raw_count,apparatus_pole_density_10k,subaltern_tribal_raw_count,subaltern_tribal_density_10k,poison_necromancy_raw_count,poison_necromancy_density_10k,sorcery_magic_raw_count,sorcery_magic_density_10k,espionage_subversion_raw_count,espionage_subversion_density_10k,climbing_leaping_raw_count,climbing_leaping_density_10k,caravan_trade_transit_raw_count,caravan_trade_transit_density_10k
bsa053_u.htm,GRETIL,5520,0,0.0,0,0.0,0,0.0,52,94.2,4,7.25,1,1.81,0,0.0,12,21.74
sa_nAgArjuna-dharmadhAtugarbhavivaraNa.htm,GRETIL,859,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.64
b09c010.htm,GRETIL,125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
bsa016_u.htm,GRETIL,1357,1,7.37,0,0.0,0,0.0,3,22.11,3,22.11,0,0.0,0,0.0,0,0.0
sa_zAGkhAyanazrautasUtra.htm,GRETIL,16635,6,3.61,7,4.21,0,0.0,69,41.48,8,4.81,80,48.09,0,0.0,11,6.61
bhg4c12u.htm,GRETIL,6113,12,19.63,0,0.0,0,0.0,41,67.07,19,31.08,7,11.45,0,0.0,1,1.64
ruyalsvu.htm,GRETIL,21138,14,6.62,6,2.84,0,0.0,373,176.46,37,17.5,30,14.19,0,0.0,9,4.26
b09c004.htm,GRETIL,111,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
govass_u.htm,GRETIL,10076,3,2.98,12,11.91,0,0.0,47,46.65,2,1.98,38,37.71,0,0.0,6,5.95
vinv13_u.htm,GRETIL,1971,7,35.51,0,0.0,0,0.0,3,15.22,0,0.0,5,25.37,0,0.0,1,5.07
jataka1u.htm,GRETIL,4416,5,11.32,2,4.53,0,0.0,1,2.26,1,2.26,2,4.53,0,0.0,4,9.06
sa_dvAviMzatyavadAnakathA.htm,GRETIL,26280,26,9.89,14,5.33,0,0.0,138,52.51,18,6.85,56,21.31,1,0.38,39,14.84
pm098__u.htm,GRETIL,7433,1,1.35,0,0.0,6,8.07,0,0.0,1,1.35,1,1.35,0,0.0,0,0.0
sa_agniveza-carakasaMhitA-parts-comm.htm,GRETIL,34927,16,4.58,19,5.44,0,0.0,200,57.26,12,3.44,84,24.05,2,0.57,19,5.44
brahms2u.htm,GRETIL,3759,0,0.0,0,0.0,0,0.0,5,13.3,2,5.32,4,10.64,0,0.0,1,2.66
