Hit_Number,File,Lemma,Sanskrit_Context,Raw_Entry
1,"Aṣṭāṅgahṛdayasaṃhitā-0026-AHS, Sū., 27-3873.conllu",padma,Token: padma | Lemma: padma,1	padma	padma	NOUN	_	Case=Cpd	_	_	_	LemmaId=15897|OccId=1557232|Unsandhied=padma|UnsandhiedReconstru
2,"Aṣṭāṅgahṛdayasaṃhitā-0026-AHS, Sū., 27-3873.conllu",āsana,Token: āsana | Lemma: āsana,7	āsana	āsana	NOUN	_	Case=Cpd	_	_	_	LemmaId=62866|OccId=1557393|Unsandhied=āsana|UnsandhiedReconstru
4,"Aṣṭāṅgahṛdayasaṃhitā-0026-AHS, Sū., 27-3873.conllu",stambha,Token: stambhanīm | Lemma: stambhana,5	stambhanīm	stambhana	ADJ	_	Case=Acc|Gender=Fem|Number=Sing	_	_	_	LemmaId=102326|OccId=1557792|Unsa
5,"Aṣṭāṅgahṛdayasaṃhitā-0026-AHS, Sū., 27-3873.conllu",padma,Token: padmaka | Lemma: padmaka,4	padmaka	padmaka	NOUN	_	Case=Cpd	_	_	_	LemmaId=16052|OccId=1557804|Unsandhied=padmaka|UnsandhiedRec
8,"Mahābhārata-0138-MBh, 1, 139-3108.conllu",padma,Token: padma | Lemma: padma,3	padma	padma	NOUN	_	Case=Cpd	_	_	_	LemmaId=15897|OccId=1115925|Unsandhied=padma|UnsandhiedReconstru
15,"Ṛgveda-0213-ṚV, 2, 23-10081.conllu",śava,Token: śavasaḥ | Lemma: śavas,12	śavasaḥ	śavas	NOUN	_	Case=Abl|Gender=Neut|Number=Sing	11	obl	_	LemmaId=131067|OccId=4408907|Unsan
22,"Śāṅkhāyanagṛhyasūtra-0067-ŚāṅkhGS, 4, 8-13660.conllu",āsana,Token: āsana | Lemma: āsana,3	āsana	āsana	NOUN	_	Case=Cpd	_	_	_	LemmaId=62866|OccId=5201056|Unsandhied=āsana
23,"Śāṅkhāyanagṛhyasūtra-0067-ŚāṅkhGS, 4, 8-13660.conllu",āsana,Token: āsana | Lemma: āsana,3	āsana	āsana	NOUN	_	Case=Cpd	_	_	_	LemmaId=62866|OccId=5201062|Unsandhied=āsana
24,"Rāmāyaṇa-0379-Rām, Su, 56-3372.conllu",āsana,Token: pākaśāsanaḥ | Lemma: pākaśāsana,6	pākaśāsanaḥ	pākaśāsana	NOUN	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	LemmaId=93032|OccId=1264060|U
25,"Rāmāyaṇa-0379-Rām, Su, 56-3372.conllu",āsana,Token: śāsanāt | Lemma: śāsana,7	śāsanāt	śāsana	NOUN	_	Case=Abl|Gender=Neut|Number=Sing	_	_	_	LemmaId=132505|OccId=1264187|Unsandhi
29,"Rāmāyaṇa-0379-Rām, Su, 56-3372.conllu",stambha,Token: stambhena | Lemma: stambha,5	stambhena	stambha	NOUN	_	Case=Ins|Gender=Masc|Number=Sing	_	_	_	LemmaId=102310|OccId=1265238|Unsan
43,"Mahābhārata-1282-MBh, 9, 64-9168.conllu",āsana,Token: duḥśāsanaṃ | Lemma: duḥśāsana,1	duḥśāsanaṃ	duḥśāsana	NOUN	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	LemmaId=85034|OccId=3847182|Uns
49,"Kathāsaritsāgara-0005-KSS, 1, 6-9930.conllu",āsana,Token: siṃhāsana | Lemma: siṃhāsana,2	siṃhāsana	siṃhāsana	NOUN	_	Case=Cpd	_	_	_	LemmaId=113665|OccId=4366709|Unsandhied=siṃhāsana
50,"Kathāsaritsāgara-0005-KSS, 1, 6-9930.conllu",āsana,Token: āsane | Lemma: āsana,6	āsane	āsana	NOUN	_	Case=Loc|Gender=Neut|Number=Sing	_	_	_	LemmaId=62866|OccId=4366719|Unsandhied=ā
53,"Kathāsaritsāgara-0005-KSS, 1, 6-9930.conllu",padma,Token: padma | Lemma: padma,2	padma	padma	NOUN	_	Case=Cpd	_	_	_	LemmaId=15897|OccId=4367311|Unsandhied=padma
55,"Vaikhānasagṛhyasūtra-0012-VaikhGS, 1, 13-15004.conllu",āsana,Token: aupāsana | Lemma: aupāsana,14	aupāsana	aupāsana	NOUN	_	Case=Cpd	_	_	_	LemmaId=266|OccId=5448712|Unsandhied=aupāsana
58,"Rāmāyaṇa-0015-Rām, Bā, 16-1084.conllu",āsana,Token: śāsanam | Lemma: śāsana,7	śāsanam	śāsana	NOUN	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	LemmaId=132505|OccId=326354|Unsandhie
62,"Āyurvedadīpikā-0003-ĀVDīp zu Ca, Sū., 1, 1-1743.conllu",āsana,Token: śabdānuśāsanam | Lemma: śabdānuśāsana,3	śabdānuśāsanam	śabdānuśāsana	NOUN	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	LemmaId=116688|OccId=49
65,"Atharvaveda (Śaunaka)-0168-AVŚ, 5, 27-10786.conllu",śava,Token: śavasā | Lemma: śavas,4	śavasā	śavas	NOUN	_	Case=Ins|Gender=Neut|Number=Sing	_	_	_	LemmaId=131067|OccId=4592101|Unsandhied
67,"Mahābhārata-0724-MBh, 5, 61-8016.conllu",śava,Token: keśavena | Lemma: keśava,8	keśavena	keśava	NOUN	_	Case=Ins|Gender=Masc|Number=Sing	_	_	_	LemmaId=4628|OccId=3217349|Unsandhie
80,"Mahābhārata-0226-MBh, 2, 1-3373.conllu",āsana,Token: āsanam | Lemma: āsana,1	āsanam	āsana	NOUN	_	Case=Acc|Gender=Neut|Number=Sing	2	obj	_	LemmaId=62866|OccId=1262256|Unsandhie
82,"Mahābhārata-1939-MBh, 15, 9-9415.conllu",āsana,Token: āsaneṣu | Lemma: āsana,6	āsaneṣu	āsana	NOUN	_	Case=Loc|Gender=Neut|Number=Plur	_	_	_	LemmaId=62866|OccId=3979918|Unsandhied
87,"Mṛgendraṭīkā-0137-MṛgṬīkā zu MṛgT, Vidyāpāda, 7, 5.2-828.conllu",śava,Token: pāśavaṃ | Lemma: pāśava,27	pāśavaṃ	pāśava	ADJ	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	LemmaId=94533|OccId=218920|Unsandhied
88,"Mṛgendraṭīkā-0137-MṛgṬīkā zu MṛgT, Vidyāpāda, 7, 5.2-828.conllu",śava,Token: pāśavaṃ | Lemma: pāśava,7	pāśavaṃ	pāśava	ADJ	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	LemmaId=94533|OccId=218952|Unsandhied=
89,"Mahābhārata-0438-MBh, 3, 141-2671.conllu",kirāta,Token: kirāta | Lemma: kirāta,1	kirāta	kirāta	NOUN	_	Case=Cpd	_	_	_	LemmaId=23457|OccId=831535|Unsandhied=kirāta|UnsandhiedReconst
91,"Kauśikasūtra-0140-KauśS, 14, 5-16030.conllu",śava,Token: śave | Lemma: śava,2	śave	śava	NOUN	_	Case=Loc|Gender=Masc|Number=Sing	_	_	_	LemmaId=131063|OccId=5645085|Unsandhied=śa
